name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Osmunda pilosa,595324,Osmunda pilosa,17169150-1,Osmundaceae,Osmunda,pilosa,spec.,Bot. Misc. 3: 229. 1833 [1 Mar 1833] ,Bot. Misc.,1833,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=229&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/598&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17169150-1,tax_nov,IPNI,NA
Osmunda piresii,624000,Osmunda piresii,177109-2,Osmundaceae,Osmunda,piresii,spec.,Sellowia 17: 51. 1965 ,Sellowia,1965,Brazil (Southern America),NA,NA,www.ipni.org/n/177109-2,tax_nov,IPNI,NA
