name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Salvinia minima,92034,Salvinia minima,227109-2,Salviniaceae,Salvinia,minima,spec.,J. Bot. 24: 98. 1886 ,J. Bot.,1886,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/35635921&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/227109-2,tax_nov,IPNI,NA
Salvinia molesta,606598,Salvinia molesta,17453700-1,Salviniaceae,Salvinia,molesta,spec.,Brit. Fern Gaz. 10: 251. 1972 ,Brit. Fern Gaz.,1972,Rhodesia;Botswana;Kenya;South Africa (Cape Prov.);Zambia;Sri Lanka;Java;Brazil;Australia (Queensland;W. Australia).;,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1972&rft.spage=251&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/5824&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17453700-1,tax_nov,IPNI,NA
Salvinia nuriana,115596,Salvinia nuriana,17567470-1,Salviniaceae,Salvinia,nuriana,spec.,in Holttum Memorial Vol. (ed. R.J. Johns) 194. 1997 ,in Holttum Memorial Vol. (ed. R.J. Johns),1997,Brazil North (Amazonas).,NA,NA,www.ipni.org/n/17567470-1,tax_nov,IPNI,NA
