name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Cyathea indefinita,615171,Cyathea indefinita,77201726-1,Cyatheaceae,Cyathea,indefinita,spec.,Amer. Fern J. 109(2): 158. 2019 [2 Aug 2019] ,Amer. Fern J.,2019,"Venezuela (Northern South America, Southern America);Roraima (Brazil North, Brazil, Southern America);",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2019&rft.issue=2&rft.spage=158&rft.volume=109&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,doi:10.1640/0002-8444-109.2.121 The epithet 'indefinita' (from Latin indefinitus = indeterminate or uncertain) is related to the absence of a characteristic to recognize promptly this taxon.,www.ipni.org/n/77201726-1,tax_nov,IPNI,https://doi.org/10.1640/0002-8444-109.2.121
Cyathea mexiae,115011,Cyathea mexiae,73285-2,Cyatheaceae,Cyathea,mexiae,spec.,"Univ. Calif. Publ. Bot. 17: 30, pl. 4. 1932 ",Univ. Calif. Publ. Bot.,1932,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1932&rft.spage=30&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/4268&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/73285-2,tax_nov,IPNI,NA
Cyathea minima,615172,Cyathea minima,77201727-1,Cyatheaceae,Cyathea,minima,spec.,Amer. Fern J. 109(2): 161. 2019 [2 Aug 2019] ,Amer. Fern J.,2019,"Venezuela (Northern South America, Southern America);Roraima (Brazil North, Brazil, Southern America);",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2019&rft.issue=2&rft.spage=161&rft.volume=109&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,doi:10.1640/0002-8444-109.2.121,www.ipni.org/n/77201727-1,tax_nov,IPNI,https://doi.org/10.1640/0002-8444-109.2.121
Cyathea polypodioides,90855,Cyathea polypodioides,73343-2,Cyatheaceae,Cyathea,polypodioides,spec.,Kongl. Vetensk. Acad. Handl. 78. 1817 ,Kongl. Vetensk. Acad. Handl.,1817,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1817&rft.spage=78&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/73343-2,tax_nov,IPNI,NA
Cyathea pseudoctenitoides,611640,Cyathea pseudoctenitoides,77201728-1,Cyatheaceae,Cyathea,pseudoctenitoides,spec.,Amer. Fern J. 109(2): 162. 2019 [2 Aug 2019] ,Amer. Fern J.,2019,"Venezuela (Northern South America, Southern America);Guyana (Northern South America, Southern America);Roraima (Brazil North, Brazil, Southern America);",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2019&rft.issue=2&rft.spage=162&rft.volume=109&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,doi:10.1640/0002-8444-109.2.121 The epithet ('pseudo' = false) refers to the similarity of this species with C. ctenitoides.,www.ipni.org/n/77201728-1,tax_nov,IPNI,https://doi.org/10.1640/0002-8444-109.2.121
Cyathea sampaioana,115476,Cyathea sampaioana,73371-2,Cyatheaceae,Cyathea,sampaioana,spec.,"Bol. Mus. Nac. Rio de Janeiro 7(3): 137, t.l,a-c, t.IV,2. 1931 ",Bol. Mus. Nac. Rio de Janeiro,1931,"Rio de Janeiro (Brazil, Southern America)",NA,NA,www.ipni.org/n/73371-2,tax_nov,IPNI,NA
Cyathea schizolepis,115475,Cyathea schizolepis,73380-2,Cyatheaceae,Cyathea,schizolepis,spec.,"Univ. Calif. Publ. Bot. 17: 27, pl. 3. 1932 ",Univ. Calif. Publ. Bot.,1932,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1932&rft.spage=27&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/4268&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/73380-2,tax_nov,IPNI,NA
Cyathea sternbergii,90860,Cyathea sternbergii,73393-2,Cyatheaceae,Cyathea,sternbergii,spec.,Vers. Fl. Vorwelt 1(Heft 4): 47. t. C. 1825 ,Vers. Fl. Vorwelt,1825,"Goiás (Brazil, Southern America)",NA,Pohl provided the species name and description,www.ipni.org/n/73393-2,tax_nov,IPNI,NA
Cyathea tatei,611202,Cyathea tatei,77201729-1,Cyatheaceae,Cyathea,tatei,spec.,Amer. Fern J. 109(2): 165. 2019 [2 Aug 2019] ,Amer. Fern J.,2019,"Venezuela (Northern South America, Southern America);Roraima (Brazil North, Brazil, Southern America);",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2019&rft.issue=2&rft.spage=165&rft.volume=109&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"doi:10.1640/0002-8444-109.2.121 The specific epithet honours George H.H. Tate, who collected the type specimen.",www.ipni.org/n/77201729-1,tax_nov,IPNI,https://doi.org/10.1640/0002-8444-109.2.121
Cyathea trindadensis,102992,Cyathea trindadensis,73414-2,Cyatheaceae,Cyathea,trindadensis,spec.,"Arq. Inst. Biol. Veg. 3(1): 1. 1936 [Dec 1936] ; pl. 1,2, f. 1; pl. 4, f. 1,3; pl. 6, f. 1-3",Arq. Inst. Biol. Veg.,1936,"Trindade (Brazil Southeast, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.issue=1&rft.spage=1&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/73414-2,tax_nov,IPNI,NA
Hemitelia uleana,291255,Hemitelia uleana,120190-2,Cyatheaceae,Hemitelia,uleana,spec.,"Bol. Mus. Nac. Rio de Janeiro 1: 65, figs. 1923 ",Bol. Mus. Nac. Rio de Janeiro,1923,Brazil (Southern America),NA,NA,www.ipni.org/n/120190-2,tax_nov,IPNI,NA
