name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Rumohra glandulosissima,Davalliaceae,Rumohra,glandulosissima,spec.,Syst. Bot. 38(4): 915. 2014 [2013 publ. 1 Jan 2014] ,Syst. Bot.,2014,"São Paulo (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);",77136227-1,NA,doi:10.1600/036364413X674869,www.ipni.org/n/77136227-1,tax_nov,IPNI,https://doi.org/10.1600/036364413X674869
Rumohra turficola,Davalliaceae,Rumohra,turficola,spec.,"Iheringia, Bot. 60(2): 254 (253-358; figs. 1-3). 2006 [dt. Jul-Dec 2005; Issued in 2006?] ","Iheringia, Bot.",2006,"Rio Grande do Sul (Brazil, Southern America)",60442643-2,NA,NA,www.ipni.org/n/60442643-2,tax_nov,IPNI,NA
