name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Begonia langenbergiana,606226,Begonia langenbergiana,77192643-1,Begoniaceae,Begonia,langenbergiana,spec.,Phytotaxa 381(1): 81. 2018 [7 Dec 2018] [epublished],Phytotaxa,2018,"São Paulo (Brazil Southeast, Brazil, Southern America)",NA,"doi:10.11646/phytotaxa.381.1.10 The species epithet pays a posthumous homage to Kingsley Frederick Langenberg, who made an important contribution to the American Begonia Society (ABS).",www.ipni.org/n/77192643-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.381.1.10
Begonia lanstyakii,5652,Begonia lanstyakii,30691-2,Begoniaceae,Begonia,lanstyakii,spec.,"Arq. Serv. Florest. 2, no. 1: 23, tab. 4. 1944 ",Arq. Serv. Florest.,1944,"Rio de Janeiro (Brazil, Southern America)",NA,NA,www.ipni.org/n/30691-2,tax_nov,IPNI,NA
Begonia lealii,16464,Begonia lealii,30693-2,Begoniaceae,Begonia,lealii,spec.,"Arch. Jard. Bot. Rio de Janeiro 13: 81, tab. 6. 1954 ",Arch. Jard. Bot. Rio de Janeiro,1954,"Pernambuco (Brazil, Southern America)",NA,NA,www.ipni.org/n/30693-2,tax_nov,IPNI,NA
Begonia leopoldinensis,116061,Begonia leopoldinensis,77100026-1,Begoniaceae,Begonia,leopoldinensis,spec.,Candollea 64(1): 120 (fig. 2). 2009 ,Candollea,2009,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77100026-1,tax_nov,IPNI,NA
Begonia leptophylla,45149,Begonia leptophylla,30697-2,Begoniaceae,Begonia,leptophylla,spec.,Bot. Jahrb. Syst. 21(4): 445. 1895 [1895] ;  a preprint,Bot. Jahrb. Syst.,1895,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.issue=4&rft.spage=445&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/30697-2,tax_nov,IPNI,NA
Begonia lindmanii,5655,Begonia lindmanii,30707-2,Begoniaceae,Begonia,lindmanii,spec.,"Arch. Jard. Bot. Rio de Janeiro 12: 8, tab. 2, 5, fig. 7-14. 1953 ",Arch. Jard. Bot. Rio de Janeiro,1953,"Mato Grosso (Brazil, Southern America)",NA,NA,www.ipni.org/n/30707-2,tax_nov,IPNI,NA
Begonia lineolata,5656,Begonia lineolata,30708-2,Begoniaceae,Begonia,lineolata,spec.,"Sellowia no. 9: 28, tab. 1. 1958 ",Sellowia,1958,"Santa Catarina (Brazil, Southern America)",NA,NA,www.ipni.org/n/30708-2,tax_nov,IPNI,NA
Begonia littoralis,631497,Begonia littoralis,77325750-1,Begoniaceae,Begonia,littoralis,spec.,Phytotaxa 609(2): 131. 2023 [22 Aug 2023] [epublished],Phytotaxa,2023,"São Paulo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.609.2.5,www.ipni.org/n/77325750-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.609.2.5
Begonia lobata,5657,Begonia lobata,315571-2,Begoniaceae,Begonia,lobata,spec.,"Syst. Veg., ed. 16 [Sprengel] 4(2, Cur. Post.): 408. 1827 [Jan-Jun 1827] ","Syst. Veg., ed. 16 [Sprengel]",1827,Brazil (Southern America),NA,[Gandhi 7 May 1998; Reserva Ecol. Macae Cima 2: 118. 1996],www.ipni.org/n/315571-2,tax_nov,IPNI,NA
Begonia longibarbata,5658,Begonia longibarbata,30713-2,Begoniaceae,Begonia,longibarbata,spec.,"Arch. Jard. Bot. Rio de Janeiro 8: 228, tab. 2. 1948 ",Arch. Jard. Bot. Rio de Janeiro,1948,"Rio de Janeiro (Brazil, Southern America)",NA,NA,www.ipni.org/n/30713-2,tax_nov,IPNI,NA
