name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Xyris dardanoi,Xyridaceae,Xyris,dardanoi,spec.,"Revista Brasil. Bot. 6: 11, fig. 1983 ",Revista Brasil. Bot.,1983,Brazil (Southern America),287111-2,NA,NA,www.ipni.org/n/287111-2,tax_nov,IPNI,NA
Xyris dawsonii,Xyridaceae,Xyris,dawsonii,spec.,"Los Angeles County Mus. Contr. Sci. no. 30: 13, fig. 4, 5. 1959 ",Los Angeles County Mus. Contr. Sci.,1959,"Goiás (Brazil, Southern America)",270016-2,NA,NA,www.ipni.org/n/270016-2,tax_nov,IPNI,NA
Xyris diamantinae,Xyridaceae,Xyris,diamantinae,spec.,"Ark. Bot. 22A, no. 15: 6. 1929 ",Ark. Bot.,1929,"Minas Gerais (Brazil, Southern America)",270030-2,NA,NA,www.ipni.org/n/270030-2,tax_nov,IPNI,NA
Xyris diaphanobracteata,Xyridaceae,Xyris,diaphanobracteata,spec.,"Ann. Missouri Bot. Gard. 75(1): 352, fig. 1988 [31 May 1988] ",Ann. Missouri Bot. Gard.,1988,Brazil (Southern America),287113-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/27277051&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/287113-2,tax_nov,IPNI,NA
Xyris dissitifolia,Xyridaceae,Xyris,dissitifolia,spec.,"Ann. Missouri Bot. Gard. 75(1): 353, fig. 1988 [31 May 1988] ",Ann. Missouri Bot. Gard.,1988,Brazil (Southern America),287114-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/27277052&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/287114-2,tax_nov,IPNI,NA
Xyris dusenii,Xyridaceae,Xyris,dusenii,spec.,"Ark. Bot. 19, no. 13: 4. 1925 ",Ark. Bot.,1925,Brazil (Southern America),270037-2,NA,NA,www.ipni.org/n/270037-2,tax_nov,IPNI,NA
Xyris eleocharoides,Xyridaceae,Xyris,eleocharoides,spec.,"Bradea 3: 58 (-59), fig. 1980 ",Bradea,1980,"Bahia (Brazil, Southern America)",270040-2,NA,NA,www.ipni.org/n/270040-2,tax_nov,IPNI,NA
Xyris extensula,Xyridaceae,Xyris,extensula,spec.,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 24, Afd. 3, No. 3: 15, pl. I, fig. 2. 1898 ",Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1898,Brazil (Southern America),270046-2,NA,NA,www.ipni.org/n/270046-2,tax_nov,IPNI,NA
Xyris fallax,Xyridaceae,Xyris,fallax,spec.,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 22(Afd. 3, no. 2): 12 (t. 1, fig. 5). 1896 ",Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1896,"Mato Grosso (Brazil, Southern America)",270047-2,NA,"The LT. data from: R. Kral, Fl. Ecuador 63: 20. 1999.",www.ipni.org/n/270047-2,tax_nov,IPNI,NA
Xyris ferreirae,Xyridaceae,Xyris,ferreirae,spec.,"Novon 8: 391 (391-393, fig. 3). 1998 ",Novon,1998,"Mun. Humaita: BR 230, Rod. Transamazonica a 94 km de Humaita, Reserva Indigena dos Tenharim, 6°55'S, 62°15'W, campina aberta, solo arenoso branco, Amazonas (Brazil, Southern America)",317111-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/640652&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 13 Jan 1998],www.ipni.org/n/317111-2,tax_nov,IPNI,NA
Xyris fibrosa,Xyridaceae,Xyris,fibrosa,spec.,"Kew Bull. 48(3): 581, fig. 3. 1993 [5 Oct 1993] ",Kew Bull.,1993,"Bahia (Brazil, Southern America)",302869-2,NA,NA,www.ipni.org/n/302869-2,tax_nov,IPNI,NA
Xyris filifolia,Xyridaceae,Xyris,filifolia,spec.,Kongl. Svenska Vetensk.-Akad. Handl. 24(14): 43. 1892 ,Kongl. Svenska Vetensk.-Akad. Handl.,1892,Brazil (Southern America),270048-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1892&rft.issue=14&rft.spage=43&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/270048-2,tax_nov,IPNI,NA
Xyris filiscapa,Xyridaceae,Xyris,filiscapa,spec.,Repert. Spec. Nov. Regni Veg. 3: 112. 1906 ,Repert. Spec. Nov. Regni Veg.,1906,Brazil (Southern America),270049-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/233364&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/270049-2,tax_nov,IPNI,NA
Xyris fredericoi,Xyridaceae,Xyris,fredericoi,spec.,Rodriguésia 61(1): 86 (-89; fig. 2). 2010 [before 15 Dec 2010] ,Rodriguésia,2010,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77112000-1,NA,NA,www.ipni.org/n/77112000-1,tax_nov,IPNI,NA
Xyris fusca,Xyridaceae,Xyris,fusca,spec.,"Kongl. Svenska Vetensk.-Akad. Handl. 24(14): 57, pl. 3. 1892 ",Kongl. Svenska Vetensk.-Akad. Handl.,1892,Brazil (Southern America),270056-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1892&rft.issue=14&rft.spage=57&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/270056-2,tax_nov,IPNI,NA
