name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Erythroxylum bahiense,Erythroxylaceae,Erythroxylum,bahiense,spec.,Fl. Bras. (Martius) 12(1): 160. 1878 [1 Dec 1878] ,Fl. Bras. (Martius),1878,"Bahia (Brazil, Southern America)",276837-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144464&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/276837-2,tax_nov,IPNI,NA
Erythroxylum barbatum,Erythroxylaceae,Erythroxylum,barbatum,spec.,"Pflanzenr. (Engler) IV, 134: 21, fig. 1907 ",Pflanzenr. (Engler),1907,Brazil (Southern America),276838-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=21&rft.volume=134&rft_id=http://www.biodiversitylibrary.org/bibliography/250&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/276838-2,tax_nov,IPNI,NA
Erythroxylum betulaceum,Erythroxylaceae,Erythroxylum,betulaceum,spec.,Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. 3(2): 339. 1840 Beitr. Eeythroxylon 59. 1840.,Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.,1840,"Monte Santo, Bahia (Brazil, Southern America)",330126-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1840&rft.issue=2&rft.spage=339&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/10920&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/330126-2,tax_nov,IPNI,NA
Erythroxylum bezerrae,Erythroxylaceae,Erythroxylum,bezerrae,spec.,"Brittonia 38: 196 (-197), figs. 1986 ",Brittonia,1986,Brazil (Southern America),276839-2,NA,NA,www.ipni.org/n/276839-2,tax_nov,IPNI,NA
Erythroxylum bicolor,Erythroxylaceae,Erythroxylum,bicolor,spec.,"Pflanzenr. (Engler) 4, Fam. 134: 107. 1907 ",Pflanzenr. (Engler),1907,Brazil (Southern America),96893-2,NA,NA,www.ipni.org/n/96893-2,tax_nov,IPNI,NA
Erythroxylum blanchetii,Erythroxylaceae,Erythroxylum,blanchetii,spec.,"Pflanzenr. (Engler) 4, Fam. 134: 56. 1907 ",Pflanzenr. (Engler),1907,Brazil (Southern America),96894-2,NA,NA,www.ipni.org/n/96894-2,tax_nov,IPNI,NA
Erythroxylum bongardianum,Erythroxylaceae,Erythroxylum,bongardianum,spec.,Fl. Bras. (Martius) 12(1): 145. 1878 [1 Dec 1878] ,Fl. Bras. (Martius),1878,Brazil (Southern America),276840-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144457&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/276840-2,tax_nov,IPNI,NA
Erythroxylum bradeanum,Erythroxylaceae,Erythroxylum,bradeanum,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 11: 722. 1933 as Erythroxylum,Notizbl. Bot. Gart. Berlin-Dahlem,1933,"Rio de Janeiro (Brazil, Southern America)",96896-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=722&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/96896-2,tax_nov,IPNI,NA
Erythroxylum buxus,Erythroxylaceae,Erythroxylum,buxus,spec.,"Fl. Bras. (Martius) 12(1): 137, t. 25, fig. 2. 1878 [1 Dec 1878] ",Fl. Bras. (Martius),1878,"Minas Gerais (Brazil, Southern America)",330128-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144453&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/330128-2,tax_nov,IPNI,NA
Erythroxylum caatingae,Erythroxylaceae,Erythroxylum,caatingae,spec.,"Fieldiana, Bot. 19: 5, fig. 1987 ","Fieldiana, Bot.",1987,"Raso da Catarina, Bahia (Brazil, Southern America)",276841-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1987&rft.spage=5&rft.volume=19&rft_id=http://www.biodiversitylibrary.org/bibliography/42247&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/276841-2,tax_nov,IPNI,NA
Erythroxylum campestre,Erythroxylaceae,Erythroxylum,campestre,spec.,Fl. Bras. Merid. (A. St.-Hil.). 2: 97. 1829 ,Fl. Bras. Merid. (A. St.-Hil.).,1829,"Minas Gerais (Brazil, Southern America)",323901-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=97&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/323901-2,tax_nov,IPNI,NA
Erythroxylum campinense,Erythroxylaceae,Erythroxylum,campinense,spec.,"Acta Amazonica 6(2): 213 (-214), figs. 1, 2. 1976 ",Acta Amazonica,1976,"Amazonas (Brazil, Southern America)",96905-2,NA,NA,www.ipni.org/n/96905-2,tax_nov,IPNI,NA
Erythroxylum cataractarum,Erythroxylaceae,Erythroxylum,cataractarum,spec.,Fl. Bras. (Martius) 12(1): 149. 1878 [1 Dec 1878] ,Fl. Bras. (Martius),1878,Brazil (Southern America),276842-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144459&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/276842-2,tax_nov,IPNI,NA
