name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Dioscorea dumetosa,Dioscoreaceae,Dioscorea,dumetosa,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 209. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,Brazil (Southern America),80797-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=209&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80797-2,tax_nov,IPNI,NA
Dioscorea epistephioides,Dioscoreaceae,Dioscorea,epistephioides,spec.,Bot. Jahrb. Syst. 21(4): 425. 1895 [1895] ;  a preprint,Bot. Jahrb. Syst.,1895,Brazil (Southern America),80802-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/206001&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80802-2,tax_nov,IPNI,NA
Dioscorea filiformis,Dioscoreaceae,Dioscorea,filiformis,spec.,Fl. Bras. (Martius) 3(1): 44. 1842 [1 Apr 1842] ,Fl. Bras. (Martius),1842,"silvis prope Tacasava, Sao Paulo (Brazil, Southern America)",323913-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135479&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,later homonym (non Blume 1827),www.ipni.org/n/323913-2,tax_nov,IPNI,NA
Dioscorea flabellispina,Dioscoreaceae,Dioscorea,flabellispina,spec.,Phytotaxa 231(1): 90. 2015 [15 Oct 2015] [epublished],Phytotaxa,2015,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",77150583-1,NA,doi:10.11646/phytotaxa.231.1.9,www.ipni.org/n/77150583-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.231.1.9
Dioscorea fluminensis,Dioscoreaceae,Dioscorea,fluminensis,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 210. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,Brazil (Southern America),80809-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=210&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80809-2,tax_nov,IPNI,NA
Dioscorea fractiflexa,Dioscoreaceae,Dioscorea,fractiflexa,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 235. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),80811-2,NA,NA,www.ipni.org/n/80811-2,tax_nov,IPNI,NA
Dioscorea galiiflora,Dioscoreaceae,Dioscorea,galiiflora,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 538. 1921 ,Notizbl. Bot. Gart. Berlin-Dahlem,1921,Brazil (Southern America),80817-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1921&rft.spage=538&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80817-2,tax_nov,IPNI,NA
Dioscorea gibertii,Dioscoreaceae,Dioscorea,gibertii,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 58. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),80823-2,NA,NA,www.ipni.org/n/80823-2,tax_nov,IPNI,NA
Dioscorea glandulosa,Dioscoreaceae,Dioscorea,glandulosa,spec.,Enum. Pl. [Kunth] 5: 352. 1850 [10-11 Jun 1850] ,Enum. Pl. [Kunth],1850,Brazil (Southern America),324020-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1850&rft.spage=352&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/67381&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/324020-2,tax_nov,IPNI,NA
Dioscorea goyazensis,Dioscoreaceae,Dioscorea,goyazensis,spec.,Fl. Bras. (Martius) 3(1): 41. 1842 [1 Apr 1842] ,Fl. Bras. (Martius),1842,"Goiás (Brazil, Southern America)",324034-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135478&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/324034-2,tax_nov,IPNI,NA
