name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Luxemburgia leitonii,114475,Luxemburgia leitonii,60456428-2,Ochnaceae,Luxemburgia,leitonii,spec.,Revista Brasil. Bot. 33(4): 656 (; figs. 2-3). 2011 [dt. Oct-Dec  2010; issued in 2011] ,Revista Brasil. Bot.,2011,"Minas Gerais (Brazil, Southern America)",NA,"Eponymy: ... the specimen Leitão Filho et al. 6589 is being considered here as belonging to a new species, L. leitonii, named in honour of the collector, the late Prof. Dr. Hermógenes de Freitas Leitão Filho, professor and researcher on Angiosperm taxonomy, of the Universidade Estadual de Campinas.",www.ipni.org/n/60456428-2,tax_nov,IPNI,NA
Luxemburgia macedoi,31695,Luxemburgia macedoi,146118-2,Ochnaceae,Luxemburgia,macedoi,spec.,"J. Wash. Acad. Sci. 45: 198, fig. 13-17. 1955 ",J. Wash. Acad. Sci.,1955,"Goiás (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1955&rft.spage=198&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/146118-2,tax_nov,IPNI,NA
Luxemburgia mogolensis,31698,Luxemburgia mogolensis,60456429-2,Ochnaceae,Luxemburgia,mogolensis,spec.,"Revista Brasil. Bot. 33(4): 656 (659; figs. 2, 4). 2011 [dt. Oct-Dec  2010; issued in 2011] ",Revista Brasil. Bot.,2011,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/60456429-2,tax_nov,IPNI,NA
Luxemburgia mysteriosa,79457,Luxemburgia mysteriosa,77091165-1,Ochnaceae,Luxemburgia,mysteriosa,spec.,Harvard Pap. Bot. 12(2): 405 (-408; figs. 1-2). 2007 [21 Dec 2007] ,Harvard Pap. Bot.,2007,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77091165-1,tax_nov,IPNI,NA
Luxemburgia schwackeana,31702,Luxemburgia schwackeana,146123-2,Ochnaceae,Luxemburgia,schwackeana,spec.,Bot. Jahrb. Syst. 17(5): 504. 1893 [7 Nov 1893] ,Bot. Jahrb. Syst.,1893,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1893&rft.issue=5&rft.spage=504&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/146123-2,tax_nov,IPNI,NA
Ouratea acicularis,105572,Ouratea acicularis,60450632-2,Ochnaceae,Ouratea,acicularis,spec.,Novon 18(3): 398 (397-404; figs. 1-3). 2008 [2 Sep 2008] ,Novon,2008,"Tocantins (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/16439116&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/60450632-2,tax_nov,IPNI,NA
Ouratea angulata,603206,Ouratea angulata,177492-2,Ochnaceae,Ouratea,angulata,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 259. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177492-2,tax_nov,IPNI,NA
Ouratea attenuata,116909,Ouratea attenuata,177495-2,Ochnaceae,Ouratea,attenuata,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 259. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177495-2,tax_nov,IPNI,NA
Ouratea australis,105694,Ouratea australis,177496-2,Ochnaceae,Ouratea,australis,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 336. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=336&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177496-2,tax_nov,IPNI,NA
Ouratea bahiensis,19918,Ouratea bahiensis,177497-2,Ochnaceae,Ouratea,bahiensis,spec.,"Bull. Jard. Bot. Natl. Belg. 51: 411, fig. 1981 ",Bull. Jard. Bot. Natl. Belg.,1981,Brazil (Southern America),NA,NA,www.ipni.org/n/177497-2,tax_nov,IPNI,NA
