name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Cephalostemon angustatus,Rapateaceae,Cephalostemon,angustatus,spec.,"Ark. Bot. 26A, no. 9: 11. 1934 ",Ark. Bot.,1934,"Mato Grosso (Brazil, Southern America)",52249-2,NA,NA,www.ipni.org/n/52249-2,tax_nov,IPNI,NA
Cephalostemon cyperaceoides,Rapateaceae,Cephalostemon,cyperaceoides,spec.,Arch. Jard. Bot. Rio de Janeiro 1: 10. 1915 ,Arch. Jard. Bot. Rio de Janeiro,1915,Brazil (Southern America),52250-2,NA,NA,www.ipni.org/n/52250-2,tax_nov,IPNI,NA
Cephalostemon microglochin,Rapateaceae,Cephalostemon,microglochin,spec.,Bull. Misc. Inform. Kew 1929(4): 125. [3 Jun 1929] ,Bull. Misc. Inform. Kew,1929,Brazil (Southern America),52251-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.issue=4&rft.spage=125&rft.volume=1929&rft_id=http://www.biodiversitylibrary.org/bibliography/62170&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/52251-2,tax_nov,IPNI,NA
Rapatea elongata,Rapateaceae,Rapatea,elongata,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 230. 1934 ,Notizbl. Bot. Gart. Berlin-Dahlem,1934,"Mato Grosso (Brazil, Southern America)",217804-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=230&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/217804-2,tax_nov,IPNI,NA
Rapatea ulei,Rapateaceae,Rapatea,ulei,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 119. 1914 ,Notizbl. Königl. Bot. Gart. Berlin,1914,Brazil (Southern America),217818-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=119&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/217818-2,tax_nov,IPNI,NA
Rapatea undulata,Rapateaceae,Rapatea,undulata,spec.,Arq. Inst. Biol. Veg. 2(1): 28. 1935 [Sep 1935] ,Arq. Inst. Biol. Veg.,1935,"Amazonas (Brazil, Southern America)",217819-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=1&rft.spage=28&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/217819-2,tax_nov,IPNI,NA
Saxofridericia brasiliensis,Rapateaceae,Saxofridericia,brasiliensis,spec.,Phytotaxa 326(4): 285. 2017 [31 Oct 2017] [epublished],Phytotaxa,2017,"Amazonas (Brazil North, Brazil, Southern America)",77177677-1,NA,doi:10.11646/phytotaxa.326.4.9,www.ipni.org/n/77177677-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.326.4.9
Spathanthus bicolor,Rapateaceae,Spathanthus,bicolor,spec.,Arq. Inst. Biol. Veg. 2(1): 28. 1935 [Sep 1935] ,Arq. Inst. Biol. Veg.,1935,"Amazonas (Brazil, Southern America)",241144-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=1&rft.spage=28&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/241144-2,tax_nov,IPNI,NA
