name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Eragrostis glareosa,281438,Erianthus clandestinus,93431-2,Poaceae,Erianthus,clandestinus,spec.,Phytologia 14: 93. 1966 ,Phytologia,1966,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1966&rft.spage=93&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/93431-2,tax_nov,IPNI,NA
Eragrostis gloeodes,103635,Erianthus purpureus,93442-2,Poaceae,Erianthus,purpureus,spec.,Phytologia 14: 92. 1966 ,Phytologia,1966,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1966&rft.spage=92&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/93442-2,tax_nov,IPNI,NA
Eragrostis leucosticta,13207,Eriochrysis glabrifolia,94624-2,Poaceae,Eriochrysis,glabrifolia,spec.,Phytologia 14: 90. 1966 ,Phytologia,1966,"Parana, Sta. Catarina, Brazil (Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1966&rft.spage=90&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/94624-2,tax_nov,IPNI,NA
Eragrostis lindmanii,281427,Eriochrysis laxa,94626-2,Poaceae,Eriochrysis,laxa,spec.,Phytologia 14: 89. 1966 ,Phytologia,1966,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1966&rft.spage=89&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/94626-2,tax_nov,IPNI,NA
Eragrostis macra,281471,Eriochrysis villosa,94627-2,Poaceae,Eriochrysis,villosa,spec.,Phytologia 14: 90. 1966 ,Phytologia,1966,"Sta. Catarina, Rio Grande do Sul, Brazil (Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1966&rft.spage=90&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/94627-2,tax_nov,IPNI,NA
Eragrostis mattogrossensis,281450,Eustachys paranensis,304715-2,Poaceae,Eustachys,paranensis,spec.,"Candollea 51: 234-236, fig. 1996 ",Candollea,1996,"Ponta Grossa, Rare on campo, Fazenda de Criacao, Paraná (Brazil, Southern America)",NA,NA,www.ipni.org/n/304715-2,tax_nov,IPNI,NA
Eragrostis monandra,615945,Eustachys swalleniana,304714-2,Poaceae,Eustachys,swalleniana,spec.,"Candollea 51: 232-234, fig. 1996 ",Candollea,1996,"Pelotas, Instituto Agronomico do Sul, Rio Grande do Sul (Brazil, Southern America)",NA,NA,www.ipni.org/n/304714-2,tax_nov,IPNI,NA
Eragrostis neesii,13210,Glaziophyton mirabile,110682-2,Poaceae,Glaziophyton,mirabile,spec.,J. Bot. (Morot) 3: 277. 1889 ,J. Bot. (Morot),1889,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=277&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/2178&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/110682-2,tax_nov,IPNI,NA
Eragrostis perennis,20381,Guadua calderoniana,316773-2,Poaceae,Guadua,calderoniana,spec.,"Novon 1: 27, fig. 1991 ",Novon,1991,"Bahia (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/636600&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 24 Nov 1998; Sorong],www.ipni.org/n/316773-2,tax_nov,IPNI,NA
Eragrostis petrensis,13211,Guadua glomerata,113750-2,Poaceae,Guadua,glomerata,spec.,Trans. Linn. Soc. London 26: 79. 1868 ,Trans. Linn. Soc. London,1868,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1868&rft.spage=79&rft.volume=26&rft_id=http://www.biodiversitylibrary.org/bibliography/683&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/113750-2,tax_nov,IPNI,NA
