name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Cyphomandra ulei,622737,Cyphomandra ulei,309862-2,Solanaceae,Cyphomandra,ulei,spec.,Repert. Spec. Nov. Regni Veg. 17: 349. 1921 ,Repert. Spec. Nov. Regni Veg.,1921,"Rio Acre, Brazil (Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181531&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/309862-2,tax_nov,IPNI,NA
Cyphomandra velutina,110132,Cyphomandra velutina,75298-2,Solanaceae,Cyphomandra,velutina,spec.,"Fl. Bras. (Martius) 10: 120, t. 17. 1846 [1 Jul 1846] ",Fl. Bras. (Martius),1846,"ad Fazendam S. Cruz da Donna Tereza, Goiás (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/145581&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/75298-2,tax_nov,IPNI,NA
Fabiana thymifolia,123348,Fabiana thymifolia,314587-2,Solanaceae,Fabiana,thymifolia,spec.,"Pl. Usuel. Bras. 220, fig. 20. 1824 ",Pl. Usuel. Bras.,1824,"Rio Grande do Sul (Brazil, Southern America)",NA,[Gandhi 28 Jan 1998],www.ipni.org/n/314587-2,tax_nov,IPNI,NA
Franciscea acuminata,596389,Franciscea acuminata,105582-2,Solanaceae,Franciscea,acuminata,spec.,"Pl. Bras. Icon. Descr. 1: 4, fig. 1826 ",Pl. Bras. Icon. Descr.,1826,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1826&rft.spage=4&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/451&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi; Fieldiana, Bot. 39: 62]",www.ipni.org/n/105582-2,tax_nov,IPNI,NA
Franciscea confertiflora,600562,Franciscea confertiflora,105583-2,Solanaceae,Franciscea,confertiflora,spec.,"Pl. Bras. Icon. Descr. 1: 6, fig. 1826 ",Pl. Bras. Icon. Descr.,1826,"Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1826&rft.spage=6&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/451&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi; Fieldiana, Bot. 39: 62]",www.ipni.org/n/105583-2,tax_nov,IPNI,NA
Lycianthes amazonica,631598,Lycianthes amazonica,77233911-1,Solanaceae,Lycianthes,amazonica,spec.,Phytotaxa 527(1): 53. 2021 [26 Nov 2021] [epublished],Phytotaxa,2021,"Pará (Brazil North, Brazil, Southern America)",NA,"doi:10.11646/phytotaxa.527.1.5 The specific epithet refers to the area of its distribution, as it was only found in the Amazon.",www.ipni.org/n/77233911-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.527.1.5
Lycianthes bitteri,614204,Lycianthes bitteri,77192888-1,Solanaceae,Lycianthes,bitteri,spec.,Nordic J. Bot. 36(10)-e01949: 2. 2018 [12 Nov 2018] [epublished],Nordic J. Bot.,2018,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,doi:10.1111/njb.01949 The specific epithet honors Georg Bitter.,www.ipni.org/n/77192888-1,tax_nov,IPNI,https://doi.org/10.1111/njb.01949
Lycianthes cearaensis,21148,Lycianthes cearaensis,146466-2,Solanaceae,Lycianthes,cearaensis,spec.,Abh. Naturwiss. Vereine Bremen 24: 346. 1919 [1920 publ. pre-print 1919] ,Abh. Naturwiss. Vereine Bremen,1919,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=346&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/4220&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/146466-2,tax_nov,IPNI,NA
Lycianthes coffeifolia,24858,Lycianthes coffeifolia,146476-2,Solanaceae,Lycianthes,coffeifolia,spec.,Abh. Naturwiss. Vereine Bremen 24: 432. 1919 [1920 publ. pre-print 1919] ,Abh. Naturwiss. Vereine Bremen,1919,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=432&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/4220&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/146476-2,tax_nov,IPNI,NA
Lycianthes hypomalaca,24859,Lycianthes hypomalaca,146531-2,Solanaceae,Lycianthes,hypomalaca,spec.,Abh. Naturwiss. Vereine Bremen 24: 344. 1919 [1920 publ. pre-print 1919] ,Abh. Naturwiss. Vereine Bremen,1919,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=344&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/4220&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/146531-2,tax_nov,IPNI,NA
