name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Cerastium catharinense,6695,Cerastium catharinense,52331-2,Caryophyllaceae,Cerastium,catharinense,spec.,Sellowia no. 12: 126. 1960 ,Sellowia,1960,"Santa Catarina (Brazil, Southern America)",NA,NA,www.ipni.org/n/52331-2,tax_nov,IPNI,NA
Spergularia ramosa,109755,Spergularia ramosa,30276840-2,Caryophyllaceae,Spergularia,ramosa,spec.,Fl. Bras. Merid. (A. St.-Hil.). 2: 178. 1829 ,Fl. Bras. Merid. (A. St.-Hil.).,1829,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=178&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/30276840-2,tax_nov,IPNI,NA
Stellaria parva,6730,Stellaria parva,244264-2,Caryophyllaceae,Stellaria,parva,spec.,"Bot. Tidsskr. 57: 44, fig. 4. 1961 ",Bot. Tidsskr.,1961,"Argentina, Paraguay &amp; Brazil",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1961&rft.spage=44&rft.volume=57&rft_id=http://www.biodiversitylibrary.org/bibliography/6047&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/244264-2,tax_nov,IPNI,NA
