name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Rhabdodendron arirambae,87403,Rhabdodendron arirambae,218861-2,Rhabdodendraceae,Rhabdodendron,arirambae,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 430. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,Brazil (Southern America),NA,NA,www.ipni.org/n/218861-2,tax_nov,IPNI,NA
Rhabdodendron columnare,87404,Rhabdodendron columnare,218862-2,Rhabdodendraceae,Rhabdodendron,columnare,spec.,Verh. Bot. Vereins Prov. Brandenburg 47: 152. 1905 ,Verh. Bot. Vereins Prov. Brandenburg,1905,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.spage=152&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/218862-2,tax_nov,IPNI,NA
Rhabdodendron duckei,87405,Rhabdodendron duckei,218864-2,Rhabdodendraceae,Rhabdodendron,duckei,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 428. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,Brazil (Southern America),NA,NA,www.ipni.org/n/218864-2,tax_nov,IPNI,NA
Rhabdodendron longifolium,87406,Rhabdodendron longifolium,218866-2,Rhabdodendraceae,Rhabdodendron,longifolium,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 430. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,Brazil (Southern America),NA,NA,www.ipni.org/n/218866-2,tax_nov,IPNI,NA
Rhabdodendron paniculatum,87408,Rhabdodendron paniculatum,218868-2,Rhabdodendraceae,Rhabdodendron,paniculatum,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 429. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,Brazil (Southern America),NA,NA,www.ipni.org/n/218868-2,tax_nov,IPNI,NA
