name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Clematis triloba,631396,Clematis triloba,30343946-2,Ranunculaceae,Clematis,triloba,spec.,Fl. Bras. Merid. (A. St.-Hil.). 1: 3. 1825 ,Fl. Bras. Merid. (A. St.-Hil.).,1825,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=3&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/30343946-2,tax_nov,IPNI,NA
Clematis ulbrichiana,13815,Clematis ulbrichiana,60438-2,Ranunculaceae,Clematis,ulbrichiana,spec.,Repert. Spec. Nov. Regni Veg. 41: 223. 1937 ,Repert. Spec. Nov. Regni Veg.,1937,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=223&rft.volume=41&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/60438-2,tax_nov,IPNI,NA
Ranunculus catharinensis,582862,Ranunculus catharinensis,217219-2,Ranunculaceae,Ranunculus,catharinensis,spec.,"Sellowia no. 25: 257, fig. 1974 ",Sellowia,1974,"Santa Catarina (Brazil, Southern America)",NA,NA,www.ipni.org/n/217219-2,tax_nov,IPNI,NA
