name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Oreodaphne sylvatica,Lauraceae,Oreodaphne,sylvatica,spec.,Fl. Bras. (Martius) 5(2): 228. 1866 [15 May 1866] ,Fl. Bras. (Martius),1866,Brazil (Southern America),176112-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139212&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/176112-2,tax_nov,IPNI,NA
Oreodaphne teleiandra,Lauraceae,Oreodaphne,teleiandra,spec.,Prodr. [A. P. de Candolle] 15(1): 138. 1864 [May 1864] ,Prodr. [A. P. de Candolle],1864,Brazil (Southern America),176115-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/157900&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/176115-2,tax_nov,IPNI,NA
Oreodaphne tristis,Lauraceae,Oreodaphne,tristis,spec.,Linnaea 8(1): 40. 1833 ,Linnaea,1833,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",467886-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.issue=1&rft.spage=40&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/467886-1,tax_nov,IPNI,NA
Oreodaphne tweediei,Lauraceae,Oreodaphne,tweediei,spec.,Prodr. [A. P. de Candolle] 15(1): 136. 1864 [May 1864] ,Prodr. [A. P. de Candolle],1864,Brazil (Southern America),176124-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/157898&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/176124-2,tax_nov,IPNI,NA
Oreodaphne undulata,Lauraceae,Oreodaphne,undulata,spec.,Prodr. [A. P. de Candolle] 15(1): 115. 1864 [May 1864] ,Prodr. [A. P. de Candolle],1864,Brazil (Southern America),176127-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/157877&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/176127-2,tax_nov,IPNI,NA
Oreodaphne vaccinioides,Lauraceae,Oreodaphne,vaccinioides,spec.,Prodr. [A. P. de Candolle] 15(1): 127. 1864 [May 1864] ,Prodr. [A. P. de Candolle],1864,Brazil (Southern America),176129-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/157889&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/176129-2,tax_nov,IPNI,NA
Oreodaphne velloziana,Lauraceae,Oreodaphne,velloziana,spec.,Prodr. [A. P. de Candolle] 15(1): 132. 1864 [May 1864] ,Prodr. [A. P. de Candolle],1864,Brazil (Southern America),176130-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/157894&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/176130-2,tax_nov,IPNI,NA
Oreodaphne velutina,Lauraceae,Oreodaphne,velutina,spec.,Syst. Laur. 386. 1836 ,Syst. Laur.,1836,Brazil (Southern America),281706-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1836&rft.spage=386&rft_id=http://www.biodiversitylibrary.org/bibliography/422&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/281706-2,tax_nov,IPNI,NA
Oreodaphne verruculosa,Lauraceae,Oreodaphne,verruculosa,spec.,Prodr. [A. P. de Candolle] 15(1): 127. 1864 [May 1864] ,Prodr. [A. P. de Candolle],1864,Brazil (Southern America),176133-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/157889&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/176133-2,tax_nov,IPNI,NA
Oreodaphne vesiculosa,Lauraceae,Oreodaphne,vesiculosa,spec.,Linnaea 8: 44. 1833 ,Linnaea,1833,Brazil (Southern America),176134-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=44&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/176134-2,tax_nov,IPNI,NA
Persea erythropus,Lauraceae,Persea,erythropus,spec.,Linnaea 8(1): 49. 1833 ,Linnaea,1833,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",468012-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.issue=1&rft.spage=49&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/468012-1,tax_nov,IPNI,NA
