name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Berberis campos-portoi,Berberidaceae,Berberis,campos-portoi,spec.,"Rodriguésia 10, no. 20: 43, tab. 4, fig. 1-8. 1947 ",Rodriguésia,1947,"Minas Gerais (Brazil, Southern America)",31364-2,NA,NA,www.ipni.org/n/31364-2,tax_nov,IPNI,NA
Berberis glazioviana,Berberidaceae,Berberis,glazioviana,spec.,"Arch. Jard. Bot. Rio de Janeiro 14: 276, tab. 1956 ",Arch. Jard. Bot. Rio de Janeiro,1956,"Rio de Janeiro (Brazil, Southern America)",31425-2,NA,NA,www.ipni.org/n/31425-2,tax_nov,IPNI,NA
Berberis kleinii,Berberidaceae,Berberis,kleinii,spec.,Loefgrenia no. 24: 1. 1967 ,Loefgrenia,1967,"Santa Catarina (Brazil, Southern America)",31457-2,NA,NA,www.ipni.org/n/31457-2,tax_nov,IPNI,NA
