"","id_FFB","Group","Family","Genus","Species","taxon_name","Author","reference","publication","publicationYear","bhlLink","remarks","doi","id_IPNI","url_IPNI"
"1","612999","Gimnospermas","Araucariaceae","Agathis","australis","Agathis australis","(D.Don) Loudon","Encycl. Pl. [Loudon] 802. 1829 ","Encycl. Pl. [Loudon]",1829,"http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=802&rft_id=http://www.biodiversitylibrary.org/bibliography/100032&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004",NA,NA,"261668-1","www.ipni.org/n/261668-1"
"2","617203","Gimnospermas","Araucariaceae","Agathis","brownii","Agathis brownii","(Lem.) L.H.Bailey","Cult. Conif. N. Amer. 18, in adnot., 151. 1933 ","Cult. Conif. N. Amer.",1933,NA,NA,NA,"676637-1","www.ipni.org/n/676637-1"
"3","613000","Gimnospermas","Araucariaceae","Agathis","dammara","Agathis dammara","(Lamb.) Rich. & A.Rich.",NA,NA,NA,NA,NA,NA,NA,NA
"4","617201","Gimnospermas","Araucariaceae","Agathis","macrophylla","Agathis macrophylla","(Lindl.) Mast.","Journ. Roy. Hort. Soc., Lond. xiv. 197 (1892). ","Journ. Roy. Hort. Soc., Lond.",NA,NA,NA,NA,"676647-1","www.ipni.org/n/676647-1"
"5","613001","Gimnospermas","Araucariaceae","Agathis","robusta","Agathis robusta","(C.Moore ex F.Muell.) F.M.Bailey","Syn. Queensl. Fl. 498. 1883 ","Syn. Queensl. Fl.",1883,NA,NA,NA,"261672-1","www.ipni.org/n/261672-1"
"6","33971","Gimnospermas","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","Revis. Gen. Pl. 3[3]: 375. 1898 [28 Sep 1898] ","Revis. Gen. Pl.",1898,"http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/3593&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004",NA,NA,"676661-1","www.ipni.org/n/676661-1"
"7","617180","Gimnospermas","Araucariaceae","Araucaria","araucana","Araucaria araucana","(Molina) K.Koch","Dendrologie 2(2): 206. 1873 [Nov 1873] ","Dendrologie",1873,"http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1873&rft.issue=2&rft.spage=206&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/20459&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004",NA,NA,"261681-1","www.ipni.org/n/261681-1"
"8","617185","Gimnospermas","Araucariaceae","Araucaria","balansae","Araucaria balansae","Brong. & Griseb.","Ann. Sci. Nat., Bot. sér. 5, 13: 351. 1871 ","Ann. Sci. Nat., Bot.",1871,NA,NA,NA,"261682-1","www.ipni.org/n/261682-1"
"9","617196","Gimnospermas","Araucariaceae","Araucaria","bibbiani","Araucaria bibbiani","hort.","Pinetum 24. 1858 ","Pinetum",1858,"http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1858&rft.spage=24&rft_id=http://www.biodiversitylibrary.org/bibliography/15649&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004",NA,NA,"261683-1","www.ipni.org/n/261683-1"
"10","613002","Gimnospermas","Araucariaceae","Araucaria","bidwillii","Araucaria bidwillii","Hook.","London J. Bot. ii. (1843) 503. t. 18, 19. ","London J. Bot.",NA,NA,NA,NA,"261684-1","www.ipni.org/n/261684-1"
